"","aet_1981.2010","distance_to_streams_wetlands","ECOSTRESS_L4_ESI_PT.JPL_16994_010_20210705T150007_0601_01_ESIavg_GEO","frs","tmmx","all_cover_above2_30METERS","canopy_rumple_30METERS","elev_P25_2plus_30METERS","elev_P95_2plus_30METERS","PercentLiveCanopy_clump_1tree_30m","PercentLiveCanopy_clump_2to4trees_30m","PercentLiveCanopy_clump_5to9trees_30m","PercentLiveCanopy_clump_gteq10trees_30m","topo_aspect_15M_15METERS","topo_curvature_45M_15METERS","topo_plancurv_15M_15METERS","topo_slope_135M_15METERS","topo_sri_15M_15METERS","topo_sri_270M_15METERS","topo_tpi_4000M_15METERS","topo_tpi_500M_15METERS","scf","northsouthness_mx_speed_direction_Sycan_90m","Rx","EVT_PP"
"aet_1981.2010",1,-0.212974528836158,-0.0797609177399789,-0.0760679747342051,0.146419659982542,-0.0754746433146671,-0.0178562477918334,0.0147200025914245,0.042788322550435,0.00371731940129617,0.0261991259427363,-0.0250021327702509,-0.0267290324211307,0.461870621700922,-0.102356443114545,0.1012398626461,-0.31656709160458,0.183976328045678,0.289979531042862,-0.206525456226078,-0.122948576255152,-0.11257721872378,0.244085760542451,-0.0103259850675341,-0.191984011673133
"distance_to_streams_wetlands",-0.212974528836158,1,-0.0714435034444601,0.322947154383448,0.0245548478591785,0.0639139545968383,-0.00693642640049661,-0.0974797226047531,-0.0807852482419125,-0.00638565820872834,-0.00706303619234898,0.0520385233768524,-0.00374993367082947,0.0028882180134982,0.158823589697062,-0.0444790138178035,0.327225693576096,0.0259869490613263,0.0154636503592006,0.56838181303641,0.31359063412032,0.146737430044464,-0.157726483205803,0.178220810708195,0.21784819885005
"ECOSTRESS_L4_ESI_PT.JPL_16994_010_20210705T150007_0601_01_ESIavg_GEO",-0.0797609177399789,-0.0714435034444601,1,-0.161282057667949,-0.335561485439621,0.33650799573262,0.136403363418058,-0.016425749095619,0.0532400677300615,-0.238192941341088,0.0629032875285256,0.183205640695589,0.195398051493952,-0.19620787439887,-0.145384807894597,0.0586704840485682,-0.00306199059025187,-0.197439547046162,-0.186827989955915,-0.317652477293081,-0.244506857066077,0.121681780803429,0.0522711787825616,0.124967359579834,0.170399284659529
"frs",-0.0760679747342051,0.322947154383448,-0.161282057667949,1,0.0263136616993537,-0.0579189828135416,-0.0382164753946734,-0.069352463783222,-0.0363715749986772,0.0560368346028183,-0.00419107703670967,-0.00823852370149276,-0.056507003481502,-0.015717075350542,0.0380207382379754,-0.0280785706989698,0.111371360004065,-0.058102081183889,-0.0266665216018145,0.225866834270375,0.0424108278637018,0.112928701035618,-0.0725176311778212,0.0218249660049396,0.0891743752579981
"tmmx",0.146419659982542,0.0245548478591785,-0.335561485439621,0.0263136616993537,1,-0.057730757750319,-0.0199220745168042,0.155789625914214,0.0265894559279351,-0.0327856585964369,-0.0150593076914356,-0.0115640706306808,0.0229662914163093,-0.00438084446982582,-0.0356907099796384,0.0616184748079928,-0.209860406579357,0.0309641237702639,0.0487222768023916,-0.119413289369955,0.0546213104130457,-0.25222512898432,0.17291838778215,-0.392181291880075,-0.0965750489751642
"all_cover_above2_30METERS",-0.0754746433146671,0.0639139545968383,0.33650799573262,-0.0579189828135416,-0.057730757750319,1,0.366898742137238,0.17396515748914,0.204477400476169,-0.583885805878408,0.157627767714024,0.450819182230388,0.315488948556919,-0.0767892607809331,-0.0953938026441033,0.0392890608623068,0.0956607345913187,-0.0636080859659631,-0.0445795446554254,0.0238062544395949,-0.0677170046440514,0.181516159253547,-0.0172924758939781,0.127863272593247,0.292872820663174
"canopy_rumple_30METERS",-0.0178562477918334,-0.00693642640049661,0.136403363418058,-0.0382164753946734,-0.0199220745168042,0.366898742137238,1,0.463356851128862,0.586491290476171,-0.127973976381684,0.0881584249818677,0.0990369766467638,-0.0698119514118359,-0.0638073959203865,-0.232161261165763,0.081034068949339,0.146173024504766,-0.0603856831695171,-0.0844495048040731,-0.10289373187849,-0.290189061062003,0.17255225922987,0.0437690313774266,0.189831994249992,0.102848671843426
"elev_P25_2plus_30METERS",0.0147200025914245,-0.0974797226047531,-0.016425749095619,-0.069352463783222,0.155789625914214,0.17396515748914,0.463356851128862,1,0.580630026841309,-0.10707966232171,0.0231494545028851,-0.0080498204182798,-0.068392303200331,-0.0692927801706756,-0.208711443011579,0.085558712201977,-0.0110977428808256,-0.01868447149565,-0.0378841345712442,-0.173827655718915,-0.250142209614735,-0.0736650577023178,0.0781735975100078,0.00211391343283951,-0.0785403067668919
"elev_P95_2plus_30METERS",0.042788322550435,-0.0807852482419125,0.0532400677300615,-0.0363715749986772,0.0265894559279351,0.204477400476169,0.586491290476171,0.580630026841309,1,0.0336576607223804,0.0629738340116569,-0.070120863546155,-0.178921353609069,-0.11662267240117,-0.226847830283385,0.0858072897555043,0.120132147836401,-0.103368175941046,-0.0354894814903152,-0.185205414213421,-0.320265519225738,0.168674558166096,0.0375799849025197,0.130628168915496,-0.00404907597308834
"PercentLiveCanopy_clump_1tree_30m",0.00371731940129617,-0.00638565820872834,-0.238192941341088,0.0560368346028183,-0.0327856585964369,-0.583885805878408,-0.127973976381684,-0.10707966232171,0.0336576607223804,1,-0.471501636403035,-0.489673188459468,-0.36580524249369,0.00204123277878589,0.0830991115810223,-0.034609361755346,0.0245515994606398,-0.0101192640626918,-0.027727290562741,0.0348155915062777,0.0608387038354923,-0.0225740035709733,-0.0207970350078435,-0.00265829500277148,-0.187263519081466
"PercentLiveCanopy_clump_2to4trees_30m",0.0261991259427363,-0.00706303619234898,0.0629032875285256,-0.00419107703670967,-0.0150593076914356,0.157627767714024,0.0881584249818677,0.0231494545028851,0.0629738340116569,-0.471501636403035,1,-0.248902120299797,-0.23752957295245,-0.00417401305730762,-0.0359796372635074,-0.00211144637472681,0.00613548910373637,-0.0274848890906435,-0.0170052831413549,-0.0224095607157404,-0.0558947644775509,-0.0066406898669189,-0.000399531151756995,0.0554929138049832,0.112337237317872
"PercentLiveCanopy_clump_5to9trees_30m",-0.0250021327702509,0.0520385233768524,0.183205640695589,-0.00823852370149276,-0.0115640706306808,0.450819182230388,0.0990369766467638,-0.0080498204182798,-0.070120863546155,-0.489673188459468,-0.248902120299797,1,0.134907039423394,-0.0242080226294905,-0.0493827989137153,0.0126354002623801,0.0100617342700985,-0.0105572099046914,-0.00750387740559083,-0.00263140138564768,-0.0161593114407383,0.0637564588373269,-0.0161500177133825,0.0337689070985642,0.155640741998526
"PercentLiveCanopy_clump_gteq10trees_30m",-0.0267290324211307,-0.00374993367082947,0.195398051493952,-0.056507003481502,0.0229662914163093,0.315488948556919,-0.0698119514118359,-0.068392303200331,-0.178921353609069,-0.36580524249369,-0.23752957295245,0.134907039423394,1,0.0184346261852593,-0.0153843469651597,0.0345824541924046,-0.0670651165327929,0.0388959428664791,0.0461955712097512,-0.0063472619430681,0.0128707423052924,0.0158781329351801,0.00457632248686918,-0.0680576328525307,0.0642002414923681
"topo_aspect_15M_15METERS",0.461870621700922,0.0028882180134982,-0.19620787439887,-0.015717075350542,-0.00438084446982582,-0.0767892607809331,-0.0638073959203865,-0.0692927801706756,-0.11662267240117,0.00204123277878589,-0.00417401305730762,-0.0242080226294905,0.0184346261852593,1,0.0562057166583291,-0.000720058732918923,0.0032179639716558,0.543804462824475,0.439760295929069,0.154228192539904,0.104583644241917,-0.1150582027531,0.0323438029694154,-0.0102675794599886,-0.0516505906605577
"topo_curvature_45M_15METERS",-0.102356443114545,0.158823589697062,-0.145384807894597,0.0380207382379754,-0.0356907099796384,-0.0953938026441033,-0.232161261165763,-0.208711443011579,-0.226847830283385,0.0830991115810223,-0.0359796372635074,-0.0493827989137153,-0.0153843469651597,0.0562057166583291,1,-0.597141878107671,0.0631074278366173,0.0440380162700833,0.0147706197087063,0.294272068899539,0.587134382854596,0.0245281788361347,-0.127628744462007,0.0223257212277825,0.0226865964810371
"topo_plancurv_15M_15METERS",0.1012398626461,-0.0444790138178035,0.0586704840485682,-0.0280785706989698,0.0616184748079928,0.0392890608623068,0.081034068949339,0.085558712201977,0.0858072897555043,-0.034609361755346,-0.00211144637472681,0.0126354002623801,0.0345824541924046,-0.000720058732918923,-0.597141878107671,1,-0.0971493569880052,-0.0215720876567238,-0.00654655425296915,-0.0954995575528539,-0.213932283506093,-0.0160282217319003,0.0167709139688635,-0.017200478431783,-0.0412000253552862
"topo_slope_135M_15METERS",-0.31656709160458,0.327225693576096,-0.00306199059025187,0.111371360004065,-0.209860406579357,0.0956607345913187,0.146173024504766,-0.0110977428808256,0.120132147836401,0.0245515994606398,0.00613548910373637,0.0100617342700985,-0.0670651165327929,0.0032179639716558,0.0631074278366173,-0.0971493569880052,1,0.111618742101454,0.188247484355452,0.331724077960397,0.0605278403262479,0.288671432511075,-0.0677685120626634,0.285382587265792,0.160927503405854
"topo_sri_15M_15METERS",0.183976328045678,0.0259869490613263,-0.197439547046162,-0.058102081183889,0.0309641237702639,-0.0636080859659631,-0.0603856831695171,-0.01868447149565,-0.103368175941046,-0.0101192640626918,-0.0274848890906435,-0.0105572099046914,0.0388959428664791,0.543804462824475,0.0440380162700833,-0.0215720876567238,0.111618742101454,1,0.583804424276791,0.107944549946172,0.0582679673214165,-0.123271694102829,0.0514665816404988,-0.0292970910433639,-0.0634619487705289
"topo_sri_270M_15METERS",0.289979531042862,0.0154636503592006,-0.186827989955915,-0.0266665216018145,0.0487222768023916,-0.0445795446554254,-0.0844495048040731,-0.0378841345712442,-0.0354894814903152,-0.027727290562741,-0.0170052831413549,-0.00750387740559083,0.0461955712097512,0.439760295929069,0.0147706197087063,-0.00654655425296915,0.188247484355452,0.583804424276791,1,0.133411037663769,0.0397814101837117,-0.235434295808788,0.0837448108494643,-0.0267587075244517,-0.00966430807161793
"topo_tpi_4000M_15METERS",-0.206525456226078,0.56838181303641,-0.317652477293081,0.225866834270375,-0.119413289369955,0.0238062544395949,-0.10289373187849,-0.173827655718915,-0.185205414213421,0.0348155915062777,-0.0224095607157404,-0.00263140138564768,-0.0063472619430681,0.154228192539904,0.294272068899539,-0.0954995575528539,0.331724077960397,0.107944549946172,0.133411037663769,1,0.492430778900706,0.169622446792013,-0.260605443393924,0.251360563738701,0.0927201025020273
"topo_tpi_500M_15METERS",-0.122948576255152,0.31359063412032,-0.244506857066077,0.0424108278637018,0.0546213104130457,-0.0677170046440514,-0.290189061062003,-0.250142209614735,-0.320265519225738,0.0608387038354923,-0.0558947644775509,-0.0161593114407383,0.0128707423052924,0.104583644241917,0.587134382854596,-0.213932283506093,0.0605278403262479,0.0582679673214165,0.0397814101837117,0.492430778900706,1,-0.000227660101158249,-0.200837551857164,-0.0116478952072785,0.0302520110958278
"scf",-0.11257721872378,0.146737430044464,0.121681780803429,0.112928701035618,-0.25222512898432,0.181516159253547,0.17255225922987,-0.0736650577023178,0.168674558166096,-0.0225740035709733,-0.0066406898669189,0.0637564588373269,0.0158781329351801,-0.1150582027531,0.0245281788361347,-0.0160282217319003,0.288671432511075,-0.123271694102829,-0.235434295808788,0.169622446792013,-0.000227660101158249,1,-0.146278030263515,0.284959530029552,0.157729122656622
"northsouthness_mx_speed_direction_Sycan_90m",0.244085760542451,-0.157726483205803,0.0522711787825616,-0.0725176311778212,0.17291838778215,-0.0172924758939781,0.0437690313774266,0.0781735975100078,0.0375799849025197,-0.0207970350078435,-0.000399531151756995,-0.0161500177133825,0.00457632248686918,0.0323438029694154,-0.127628744462007,0.0167709139688635,-0.0677685120626634,0.0514665816404988,0.0837448108494643,-0.260605443393924,-0.200837551857164,-0.146278030263515,1,0.121788452739242,-0.0334153426175824
"Rx",-0.0103259850675341,0.178220810708195,0.124967359579834,0.0218249660049396,-0.392181291880075,0.127863272593247,0.189831994249992,0.00211391343283951,0.130628168915496,-0.00265829500277148,0.0554929138049832,0.0337689070985642,-0.0680576328525307,-0.0102675794599886,0.0223257212277825,-0.017200478431783,0.285382587265792,-0.0292970910433639,-0.0267587075244517,0.251360563738701,-0.0116478952072785,0.284959530029552,0.121788452739242,1,0.17385560158414
"EVT_PP",-0.191984011673133,0.21784819885005,0.170399284659529,0.0891743752579981,-0.0965750489751642,0.292872820663174,0.102848671843426,-0.0785403067668919,-0.00404907597308834,-0.187263519081466,0.112337237317872,0.155640741998526,0.0642002414923681,-0.0516505906605577,0.0226865964810371,-0.0412000253552862,0.160927503405854,-0.0634619487705289,-0.00966430807161793,0.0927201025020273,0.0302520110958278,0.157729122656622,-0.0334153426175824,0.17385560158414,1
